h1_score,h2_score,h3_score,h4_score,h5_score,h6_score,text_score,title_score,desc_score,domain_score,path_score,alt_img_score,label
0.0,0.5162516334319165,0.4597128408896173,0.0,0.0,0.0,0.0,0.17360371745505648,0.0,0.96071068907415,0.9543004748747532,0.0,Above average
0.9620865265934552,0.0,0.0,0.0,0.0,0.0,0.2487263324429744,0.5998114070188956,0.5820492792100318,0.0,0.9620865265934552,0.0,Below average
0.9620865265934552,0.0,0.0,0.0,0.0,0.0,0.2487263324429744,0.5998114070188956,0.5820492792100318,0.0,0.9620865265934552,0.0,Below average
0.8047558313063672,0.0,0.0,0.0,0.0,0.0,0.6766686189709797,0.0,0.7531892330168866,0.0,0.9291359244267628,0.0,Above average
0.8056141286813177,0.0,0.0,0.0,0.0,0.0,0.6395319177844473,0.0,0.7508143918522483,0.0,0.9288058130105296,0.0,Average
0.8031782312244362,0.0,0.0,0.0,0.0,0.0,0.6409167338281601,0.0,0.7216299498263458,0.0,0.9315632181889316,0.0,Above average
0.8031782312244362,0.0,0.0,0.0,0.0,0.0,0.6409167338281601,0.0,0.7216299498263458,0.0,0.9315632181889316,0.0,Above average
0.4212882095210975,0.0,0.0,0.0,0.0,0.0,0.6862842794209043,0.25955144816594017,0.9277726364463934,0.0,0.9618644736717497,0.0,Above average
0.8014741041905367,0.0,0.0,0.0,0.0,0.0,0.629282694055006,0.0,0.6803580322310405,0.0,0.9307176344961636,0.0,Average
0.9581500768708878,0.21859606982674945,0.0,0.0,0.0,0.0,0.87393762134877,0.0,0.3447119841745725,0.0,0.5578653404921612,0.0,Average
0.9581500768708878,0.21859606982674945,0.0,0.0,0.0,0.0,0.87393762134877,0.0,0.3447119841745725,0.0,0.5578653404921612,0.0,Average
0.9582763640485986,0.2155021069357106,0.0,0.0,0.0,0.0,0.8717810143364845,0.0,0.33479360694543325,0.0,0.5572019729690249,0.0,Above average
0.960772526875838,0.0,0.0,0.0,0.0,0.0,0.8585334103018818,0.0,0.10644074651447444,0.0,0.4399717336918744,0.0,Average
0.960772526875838,0.0,0.0,0.0,0.0,0.0,0.8585334103018818,0.0,0.10644074651447444,0.0,0.4399717336918744,0.0,Average
0.960772526875838,0.0,0.0,0.0,0.0,0.0,0.8585334103018818,0.0,0.10644074651447444,0.0,0.4399717336918744,0.0,Average
0.9619330894890168,0.1150322273558129,0.0,0.0,0.0,0.0,0.8967324862704145,0.0,0.11160368819315722,0.0,0.2963674825676837,0.0,Average
0.0,0.7073677852412179,0.3261486513409586,0.0,0.0,0.0,0.0,0.2279784058212581,0.0,0.41293202112023547,0.938117751619198,0.0,Above average
0.683738778570973,0.0,0.0,0.0,0.0,0.0,0.3941934895177427,0.24513039666868802,0.8724201323218842,0.0,0.683738778559628,0.0,Below average
0.683738778570973,0.0,0.0,0.0,0.0,0.0,0.3941934895177427,0.24513039666868802,0.8724201323218842,0.0,0.683738778559628,0.0,Below average
0.8309833758768943,0.1716461625416512,0.0,0.0,0.0,0.0,0.8954210608898653,0.0,0.06956616041891378,0.0,0.2147041937653429,0.0,Average
0.541372700806246,0.2904674998904381,0.0,0.0,0.0,0.0,0.5290182812386441,0.23063437591796346,0.8752897004881175,0.0,0.541372701000686,0.0,Above average
0.541372700806246,0.2904674998904381,0.0,0.0,0.0,0.0,0.5290182812386441,0.23063437591796346,0.8752897004881175,0.0,0.541372701000686,0.0,Above average
0.7863759010238119,0.0,0.0,0.0,0.0,0.0,0.23437820841637874,0.2432219699242824,0.1932983471773825,0.0,0.7863759010339548,0.0,Above average
0.16864920432407246,0.4963030943287548,0.0,0.0,0.0,0.0,0.30225924400925064,0.9336078925021608,0.15654702239817972,0.0,0.3745986463649064,0.0,Above average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620865265934552,0.0,0.041518578689474436,Above average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9620865265934552,0.0,0.041518578689474436,Above average
0.7218499147335061,0.0,0.0,0.0,0.0,0.0,0.08405094789214007,0.2622023461061834,0.2023570173072985,0.0,0.7218499147335061,0.4307469720743525,Average
0.7218499147335061,0.0,0.0,0.0,0.0,0.0,0.08405094789214007,0.2622023461061834,0.2023570173072985,0.0,0.7218499147335061,0.4307469720743525,Average
0.4198051016744371,0.4918406791667817,0.0,0.0,0.0,0.0,0.8293366374252971,0.3577920618933168,0.0,0.0,0.0,0.0,Average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9454772097793936,0.0,0.06033337325559328,Above average
0.8219815128176454,0.14604659893925334,0.0,0.0,0.0,0.0,0.6348091001030566,0.0,0.0,0.0,0.0,0.0,Average
0.2151370171725027,0.3793710682000159,0.0,0.0,0.0,0.0,0.3035097657548001,0.9367246900030308,0.17457585331234576,0.0,0.3747616078584233,0.0,Average
0.8214788689590669,0.1487710770775494,0.0,0.0,0.0,0.0,0.6322963262308449,0.0,0.0,0.0,0.0,0.0,Average
0.8172076313319828,0.15036395328385752,0.0,0.0,0.0,0.0,0.6217934866564039,0.0,0.0,0.0,0.0,0.0,Below average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411433079096071,0.4304840339646875,0.0,0.0,0.8623089878237603,Above average
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5411433079096071,0.4304840339646875,0.0,0.0,0.8623089878237603,Above average
0.0,0.4663033115060834,0.3744256347265603,0.0,0.0,0.0,0.0,0.0,0.0,0.7852206991188149,0.0,0.0,Above average
