mobile_speed,desktop_speed,h1_score,h2_score,h3_score,h4_score,h5_score,h6_score,text_score,title_score,desc_score,domain_score,path_score,alt_img_score,label
0.1,0.38,0.17618975635928885,0.9568618773540258,0.6943020941140463,0.5049858373228734,0.5845456844023752,0.0,0.8313210722323779,0.9473488792255641,0.9101214354185868,0.7238182173854321,0.0,0.9058368102891754,Above average
0.19,0.67,0.9601664690299664,0.9516227347238024,0.9412665964746172,0.9136873221250996,0.0,0.0,0.8174748529802958,0.9601664688997464,0.9373675030251548,0.0,0.9536572068700234,0.8180053379942848,Above average
0.19,0.67,0.9601664690299664,0.9516227347238024,0.9412665964746172,0.9136873221250996,0.0,0.0,0.8174748529802958,0.9601664688997464,0.9373675030251548,0.0,0.9536572068700234,0.8180053379942848,Above average
0.76,0.8,0.952841702618892,0.946972841787764,0.7252003895468123,0.0,0.0,0.0,0.9087028907903816,0.953247873461202,0.9202412631935188,0.9607049542615638,0.0,0.856110972121578,Above average
0.66,0.94,0.9587767338713074,0.9483038836063612,0.6876320627665182,0.9578515846521656,0.0,0.0,0.940472816290664,0.9447081418460528,0.9532613402629184,0.0,0.956752926983573,0.9490960315438866,Below average
0.66,0.94,0.9587767338713074,0.9483038836063612,0.6876320627665182,0.9578515846521656,0.0,0.0,0.940472816290664,0.9447081418460528,0.9532613402629184,0.0,0.956752926983573,0.9490960315438866,Below average
0.14,0.46,0.9619348793202728,0.9838379561953768,0.9201109787316121,0.0,0.0,0.0,0.9586392864501372,0.9619348793202728,0.0,0.0,0.9619348793202728,0.9395852714343328,Below average
0.14,0.46,0.9619348793202728,0.9838379561953768,0.9201109787316121,0.0,0.0,0.0,0.9586392864501372,0.9619348793202728,0.0,0.0,0.9619348793202728,0.9395852714343328,Below average
0.66,0.94,0.958382547593978,0.9472808909297454,0.6950446171599718,0.9581399528155318,0.0,0.0,0.9371337254881796,0.9437037717753232,0.9518366271853566,0.0,0.9545231004201772,0.9333170136378788,Below average
0.14,0.46,0.9619307372277548,0.9839284166193236,0.9170347882858748,0.0,0.0,0.0,0.9595760154945396,0.9619307372277548,0.0,0.0,0.9619307372277548,0.938970632795758,Below average
0.14,0.46,0.9619307372277548,0.9839284166193236,0.9170347882858748,0.0,0.0,0.0,0.9595760154945396,0.9619307372277548,0.0,0.0,0.9619307372277548,0.938970632795758,Below average
0.14,0.46,0.9619254403963278,0.969336203731264,0.9200402117744328,0.0,0.0,0.0,0.9585281124817698,0.9619254403963278,0.0,0.0,0.9619254403963278,0.9386056021280164,Below average
0.14,0.46,0.9619151035355558,0.9694743209156136,0.9031626905993974,0.0,0.0,0.0,0.957381447474254,0.9619151035355558,0.0,0.0,0.9619151035355558,0.9398364066172716,Below average
0.11,0.32,0.9135440482154558,0.9348655184790868,0.7560427727554099,0.0,0.5283002412353133,0.0,0.3498969501410558,0.9290914518335341,0.9216372747064412,0.0,0.0,0.7369459958732089,Average
0.19,0.67,0.9619473365729772,0.958296780810178,0.7408925502760171,0.8970890106173472,0.0,0.0,0.8587775701988158,0.9619473365725622,0.9463163786939456,0.4392985656974699,0.9598247162402151,0.789838286521119,Above average
0.19,0.67,0.9619473365729772,0.958296780810178,0.7408925502760171,0.8970890106173472,0.0,0.0,0.8587775701988158,0.9619473365725622,0.9463163786939456,0.4392985656974699,0.9598247162402151,0.789838286521119,Above average
0.63,0.94,0.9593562722148066,0.8732792533169119,0.7404572985795576,0.8570901224847732,0.0,0.0,0.6013935391062845,0.9509400763439472,0.9469520765919832,0.0,0.95360125441274,0.921914014268068,Below average
0.63,0.94,0.9593562722148066,0.8732792533169119,0.7404572985795576,0.8570901224847732,0.0,0.0,0.6013935391062845,0.9509400763439472,0.9469520765919832,0.0,0.95360125441274,0.921914014268068,Below average
0.63,0.94,0.9593562722148066,0.8732792533169119,0.7404572985795576,0.8570901224847732,0.0,0.0,0.6013935391062845,0.9509400763439472,0.9469520765919832,0.0,0.95360125441274,0.921914014268068,Below average
0.36,0.92,0.9454608512513768,0.0,0.9605098915617044,0.7838663274822932,0.0,0.0,0.9227175876815964,0.8545777470707047,0.8138034594063921,0.0,0.8173787720975014,0.8964111238425809,Above average
0.61,0.94,0.9592884220250324,0.8828820177775811,0.7845659261277906,0.8187829752934687,0.0,0.0,0.8049931977653629,0.9579484593106332,0.9574448646667492,0.0,0.9573993113846668,0.9360381972292572,Below average
0.61,0.94,0.9592884220250324,0.8828820177775811,0.7845659261277906,0.8187829752934687,0.0,0.0,0.8049931977653629,0.9579484593106332,0.9574448646667492,0.0,0.9573993113846668,0.9360381972292572,Below average
0.61,0.94,0.9592884220250324,0.8828820177775811,0.7845659261277906,0.8187829752934687,0.0,0.0,0.8049931977653629,0.9579484593106332,0.9574448646667492,0.0,0.9573993113846668,0.9360381972292572,Below average
0.28,0.58,0.959677273686284,0.8985960360364319,0.0,0.4742416970885841,0.0,0.0,0.0,0.9581626169541156,0.9454635424532613,0.0,0.958336325871386,0.0,Below average
0.68,0.96,0.9324409990321058,0.9620947253714892,0.954202101971284,0.0,0.0,0.0,0.9112474443866804,0.9439950870504492,0.8974946810637465,0.0,0.0,0.9645789090645684,Average
0.31,0.6,0.9596772736508332,0.91000388983836,0.0,0.4742416970885841,0.0,0.0,0.0,0.9581626169541156,0.9454635424532613,0.0,0.9583363260552084,0.0,Below average
0.31,0.6,0.9596772736136044,0.9100038893574748,0.0,0.47424169605866,0.0,0.0,0.0,0.9581626170690892,0.9454635418116716,0.0,0.958336326020322,0.0,Below average
